,Unnamed: 0,Name,Country,swim,bike,run,finish,Agegroup,Gender,Year,Avg Temp,Hi Temp,Humidity,Wind Speed,Wind Direction,West,South,Female
0,0,"Alexander, Craig",AUS,51.717,277.317,165.0,497.75,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
1,1,"Allan, Paolina",CAN,69.367,322.683,212.333,609.633,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
2,2,"Al-Sultan, Faris",DEU,51.717,273.4,190.017,519.533,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
3,3,"Amey, Paul",GBR,51.75,296.883,176.017,528.967,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
4,4,"Bastie, Christophe",FRA,59.05,294.45,193.567,552.35,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
5,5,"Bayliss, Stephen",GBR,51.683,291.95,182.017,529.633,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
6,6,"Bean, Eric",USA,56.233000000000004,282.2,188.15,532.867,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
7,7,"Becker, Blake",USA,56.317,323.683,246.167,635.2,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
8,8,"Beke, Rutger",BEL,54.733000000000004,274.733,167.817,501.38300000000004,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
9,9,"Berasategui, Virginia",ESP,58.833,322.267,183.8,569.25,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
10,10,"Berry, Desiree",USA,60.617,362.0,235.05,667.8,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
11,11,"Bij De Vaate, Heleen",NLD,69.9,327.067,210.183,612.0,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
12,12,"Biscay, Hillary",USA,54.583,343.43300000000005,230.13299999999998,635.1669999999999,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
13,13,"Boman, Tiina",FIN,59.033,339.267,225.25,629.633,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
14,14,"Bonney, James",USA,51.933,292.2,215.933,565.9,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
15,15,"Bracht, Timo",DEU,52.417,275.41700000000003,171.15,503.06699999999995,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
16,16,"Brader, Christian",DEU,59.233000000000004,284.1,182.217,530.133,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
17,17,"Brown, Cameron",NZL,51.833,276.767,173.65,506.283,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
18,18,"Cisarovska, Ladislava",CZE,68.05,345.88300000000004,205.1,626.217,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
19,19,"Comerford, Bella",GBR,59.033,321.75,188.5,574.133,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
20,20,"Cooper-Scott, Haley",USA,70.733,329.483,274.467,683.55,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
21,21,"Corbin, Linsey",USA,60.583,314.55,189.25,568.85,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
22,22,"Crawford, Gina",NZL,54.75,326.483,191.3,576.883,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
23,23,"Csomor, Erika",HUN,59.15,318.183,183.083,564.817,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
24,24,"Dansereau, Sylvie",CAN,74.7,327.05,222.36700000000002,629.533,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
25,25,"Dogana, Martina",ITA,63.516999999999996,327.433,194.533,590.783,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
26,26,"Domnik, Norbert",AUT,56.183,308.16700000000003,204.9,574.3330000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
